food.group;;;;;;;;;;;
Rice;;;;;;;;;;;
Bread;;;;;;;;;;;
Maize;;;;;;;;;;;
Beer;;;;;;;;;;;
Oatmeal;;;;;;;;;;;
Cassava;;;;;;;;;;;
Beet Sugar;;;;;;;;;;;
Onion;;;;;;;;;;;
Leeks;;;;;;;;;;;
Cane;;;;;;;;;;;
Peas;;;;;;;;;;;
Nuts;;;;;;;;;;;
Berrie;;;;;;;;;;;
Tofu;;;;;;;;;;;
bean Oil;;;;;;;;;;;
Palm Oil;;;;;;;;;;;
Sunflower Oil;;;;;;;;;;;
Rapeseed Oil;;;;;;;;;;;
Sunflower seeds;;;;;;;;;;;
Olive Oil;;;;;;;;;;;
Tomato;;;;;;;;;;;
Grape;;;;;;;;;;;
Root;;;;;;;;;;;
Lamb;;;;;;;;;;;
Citrus;;;;;;;;;;;
Banana;;;;;;;;;;;
Apple;;;;;;;;;;;
Mutton;;;;;;;;;;;
Wine;;;;;;;;;;; 
Coffee;;;;;;;;;;;
Milk Chocolate;;;;;;;;;;;
Dark Chocolate;;;;;;;;;;;
Beef;;;;;;;;;;;
Pork;;;;;;;;;;;
Egg;;;;;;;;;;;
Chicken;;;;;;;;;;;
Milk;;;;"tengo que quitar primero el ""milk chocolate"" y luego limpio el ""milk""";;;;;;;
Butter;;;;;;;;;;;
Cheese;;;;;;;;;;;
Fish;;;;salmon;tuna;cod;;;;;
Crustaceans;;;;shrimp;crab;lobster;langoustine;crayfish;;;
Potato;;;;;;;;;;;
Animal Fats;;;;pork fat;chicken fat;beef fat;;;;;
Olives;;;;;;;;;;;
Tea;;;;green tea;black tea;;;;;;
