fat_per_100,carbohydrate_per_100,protein_per_100,serving_value,serving_unit,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11
82.2,0.6,0.6,10,g,butter,,,,,,,,,,
0.5,3.6,1.1,80,g,tomato,,,,,,,,,,
0.1,3.0,0.5,80,g,tomato,,,,,,,,,,
0.1,8.0,1.0,100,g,onion,,,,,,,,,,
12.6,0.4,16.2,60,g,pork,,,,,,,,,,
0.1,3.0,0.5,90,g,tomato,,,,,,,,,,
5.0,18.1,4.4,,,rice,butter,milk,,,,,,,,
0.5,3.6,1.1,,,tomato,,,,,,,,,,
13.0,44.6,9.7,40,g,palm oil,rapeseed oil,,,,,,,,,
78.0,0.6,0.5,,,butter,rapeseed oil,,,,,,,,,
64.5,1.0,0.7,,,milk,,,,,,,,,,
16.6,11.9,6.1,50,g,peas,rapeseed oil,,,,,,,,,
16.7,12.8,12.9,,,pork,rapeseed oil,beef,,,,,,,,
2.0,1.2,22.4,27,g,pork,bread,rice,maize,rapeseed oil,,,,,,
2.7,12.0,3.7,74,g,milk,maize,,,,,,,,,
31.0,5.5,26.0,10,g,pork,root,,,,,,,,,
12.6,0.4,16.2,100,g,pork,,,,,,,,,,
34.2,2.1,24.9,30,g,cheese,potato,,,,,,,,,
0.0,11.2,0.3,150,ml,apple,,,,,,,,,,
5.8,19.4,4.5,,,milk,butter,,,,,,,,,
1.9,12.6,1.5,,,potato,milk,butter,,,,,,,,
3.9,12.4,4.3,,,berrie,maize,,,,,,,,,
4.8,18.0,4.5,,,banana,maize,milk,butter,,,,,,,
0.5,6.6,4.8,,,maize,,,,,,,,,,
2.4,0.8,26.8,25,g,beef,,,,,,,,,,
11.7,25.5,12.6,162,g,rapeseed oil,beef,animal fats,,,,,,,,
2.0,1.2,22.4,25,g,pork,bread,rice,maize,rapeseed oil,,,,,,
1.5,0.1,25.2,,,chicken,,,,,,,,,,
21.5,3.0,22.7,30,g,cheese,potato,,,,,,,,,
9.9,1.5,22.3,60,g,fish,,,,,,,,,,
16.0,16.0,14.0,1,g,pork,animal fats,,,,,,,,,
29.5,3.7,1.2,,,rapeseed oil,egg,onion,,,,,,,,
2.7,12.6,6.1,85,g,maize,milk,,,,,,,,,
9.0,0.0,12.6,,,egg,,,,,,,,,,
0.5,7.0,4.9,,,berrie,maize,root,,,,,,,,
5.2,19.1,4.5,,,butter,milk,rice,rapeseed oil,,,,,,,
5.6,19.3,4.5,,,butter,milk,,,,,,,,,
0.5,3.6,0.5,,,tomato,,,,,,,,,,
2.2,18.6,3.0,,,milk,rice,berrie,egg,maize,root,,,,,
18.0,1.0,17.0,30,g,cheese,,,,,,,,,,
6.0,1.4,18.4,20,g,pork,,,,,,,,,,
9.3,33.5,12.7,136,g,cheese,tomato,rapeseed oil,,,,,,,,
21.0,4.3,5.4,30,g,cheese,,,,,,,,,,
26.0,1.5,18.5,102,g,pork,potato,,,,,,,,,
49.0,2.0,1.3,,,milk,,,,,,,,,,
82.0,0.6,0.6,,,butter,,,,,,,,,,
2.7,12.1,3.7,,,milk,maize,,,,,,,,,
14.8,0.1,22.9,,,beef,,,,,,,,,,
2.3,25.5,5.0,150,g,rapeseed oil,egg,,,,,,,,,
0.5,7.4,4.9,,,maize,root,,,,,,,,,
2.6,16.1,3.4,,,milk,rice,egg,,,,,,,,
0.5,7.3,4.9,,,banana,maize,,,,,,,,,
2.4,15.4,1.9,120,g,potato,rapeseed oil,butter,,,,,,,,
57.0,0.4,0.3,,,butter,rapeseed oil,,,,,,,,,
2.6,0.2,23.5,,,pork,,,,,,,,,,
,11.8,,120,g,milk,,,,,,,,,,
6.5,44.1,9.0,,,butter,olive oil,palm oil,rapeseed oil,,,,,,,
14.1,12.9,6.6,50,g,peas,sunflower oil,,,,,,,,,
34.2,2.0,24.9,30,g,cheese,,,,,,,,,,
9.3,0.6,17.0,,,pork,,,,,,,,,,
1.1,2.4,24.0,25,g,chicken,,,,,,,,,,
12.6,0.2,17.7,,,pork,,,,,,,,,,
27.5,2.6,19.1,44,g,pork,potato,,,,,,,,,
19.3,25.3,9.1,,,pork,palm oil,onion,rapeseed oil,milk,,,,,,
9.2,12.7,6.2,50,g,peas,rapeseed oil,,,,,,,,,
0.5,6.1,5.1,,,maize,butter,,,,,,,,,
5.2,1.4,17.8,14,g,pork,,,,,,,,,,
3.9,13.8,4.3,,,maize,,,,,,,,,,
0.5,7.1,4.9,,,maize,root,,,,,,,,,
2.5,19.0,3.2,,,milk,rice,egg,maize,,,,,,,
2.6,0.6,21.6,,,pork,,,,,,,,,,
39.2,2.3,24.3,45,g,pork,,,,,,,,,,
77.0,0.5,0.5,10,g,butter,rapeseed oil,,,,,,,,,
44.0,2.2,24.0,,,pork,,,,,,,,,,
