fat_per_100,carbohydrate_per_100,protein_per_100,serving_value,serving_unit,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11
82.2,0.6,0.6,10,g,butter,0,0,0,0,0,0,0,0,0,0
0.5,3.6,1.1,80,g,tomato,0,0,0,0,0,0,0,0,0,0
0.1,3.0,0.5,80,g,tomato,0,0,0,0,0,0,0,0,0,0
0.1,8.0,1.0,100,g,onion,0,0,0,0,0,0,0,0,0,0
12.6,0.4,16.2,60,g,pork,0,0,0,0,0,0,0,0,0,0
0.1,3.0,0.5,90,g,tomato,0,0,0,0,0,0,0,0,0,0
5.0,18.1,4.4,0,0,rice,butter,milk,0,0,0,0,0,0,0,0
0.5,3.6,1.1,0,0,tomato,0,0,0,0,0,0,0,0,0,0
13.0,44.6,9.7,40,g,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,0
78.0,0.6,0.5,0,0,butter,rapeseed oil,0,0,0,0,0,0,0,0,0
64.5,1.0,0.7,0,0,milk,0,0,0,0,0,0,0,0,0,0
16.6,11.9,6.1,50,g,peas,rapeseed oil,0,0,0,0,0,0,0,0,0
16.7,12.8,12.9,0,0,pork,rapeseed oil,beef,0,0,0,0,0,0,0,0
2.0,1.2,22.4,27,g,pork,bread,rice,maize,rapeseed oil,0,0,0,0,0,0
2.7,12.0,3.7,74,g,milk,maize,0,0,0,0,0,0,0,0,0
31.0,5.5,26.0,10,g,pork,root,0,0,0,0,0,0,0,0,0
12.6,0.4,16.2,100,g,pork,0,0,0,0,0,0,0,0,0,0
34.2,2.1,24.9,30,g,cheese,potato,0,0,0,0,0,0,0,0,0
0.0,11.2,0.3,150,ml,apple,0,0,0,0,0,0,0,0,0,0
5.8,19.4,4.5,0,0,milk,butter,0,0,0,0,0,0,0,0,0
1.9,12.6,1.5,0,0,potato,milk,butter,0,0,0,0,0,0,0,0
3.9,12.4,4.3,0,0,berrie,maize,0,0,0,0,0,0,0,0,0
4.8,18.0,4.5,0,0,banana,maize,milk,butter,0,0,0,0,0,0,0
0.5,6.6,4.8,0,0,maize,0,0,0,0,0,0,0,0,0,0
2.4,0.8,26.8,25,g,beef,0,0,0,0,0,0,0,0,0,0
11.7,25.5,12.6,162,g,rapeseed oil,beef,animal fats,0,0,0,0,0,0,0,0
2.0,1.2,22.4,25,g,pork,bread,rice,maize,rapeseed oil,0,0,0,0,0,0
1.5,0.1,25.2,0,0,chicken,0,0,0,0,0,0,0,0,0,0
21.5,3.0,22.7,30,g,cheese,potato,0,0,0,0,0,0,0,0,0
9.9,1.5,22.3,60,g,fish,0,0,0,0,0,0,0,0,0,0
16.0,16.0,14.0,1,g,pork,animal fats,0,0,0,0,0,0,0,0,0
29.5,3.7,1.2,0,0,rapeseed oil,egg,onion,0,0,0,0,0,0,0,0
2.7,12.6,6.1,85,g,maize,milk,0,0,0,0,0,0,0,0,0
9.0,0.0,12.6,0,0,egg,0,0,0,0,0,0,0,0,0,0
0.5,7.0,4.9,0,0,berrie,maize,root,0,0,0,0,0,0,0,0
5.2,19.1,4.5,0,0,butter,milk,rice,rapeseed oil,0,0,0,0,0,0,0
5.6,19.3,4.5,0,0,butter,milk,0,0,0,0,0,0,0,0,0
0.5,3.6,0.5,0,0,tomato,0,0,0,0,0,0,0,0,0,0
2.2,18.6,3.0,0,0,milk,rice,berrie,egg,maize,root,0,0,0,0,0
18.0,1.0,17.0,30,g,cheese,0,0,0,0,0,0,0,0,0,0
6.0,1.4,18.4,20,g,pork,0,0,0,0,0,0,0,0,0,0
9.3,33.5,12.7,136,g,cheese,tomato,rapeseed oil,0,0,0,0,0,0,0,0
21.0,4.3,5.4,30,g,cheese,0,0,0,0,0,0,0,0,0,0
26.0,1.5,18.5,102,g,pork,potato,0,0,0,0,0,0,0,0,0
49.0,2.0,1.3,0,0,milk,0,0,0,0,0,0,0,0,0,0
82.0,0.6,0.6,0,0,butter,0,0,0,0,0,0,0,0,0,0
2.7,12.1,3.7,0,0,milk,maize,0,0,0,0,0,0,0,0,0
14.8,0.1,22.9,0,0,beef,0,0,0,0,0,0,0,0,0,0
2.3,25.5,5.0,150,g,rapeseed oil,egg,0,0,0,0,0,0,0,0,0
0.5,7.4,4.9,0,0,maize,root,0,0,0,0,0,0,0,0,0
2.6,16.1,3.4,0,0,milk,rice,egg,0,0,0,0,0,0,0,0
0.5,7.3,4.9,0,0,banana,maize,0,0,0,0,0,0,0,0,0
2.4,15.4,1.9,120,g,potato,rapeseed oil,butter,0,0,0,0,0,0,0,0
57.0,0.4,0.3,0,0,butter,rapeseed oil,0,0,0,0,0,0,0,0,0
2.6,0.2,23.5,0,0,pork,0,0,0,0,0,0,0,0,0,0
0.0,11.8,0.0,120,g,milk,0,0,0,0,0,0,0,0,0,0
6.5,44.1,9.0,0,0,butter,olive oil,palm oil,rapeseed oil,0,0,0,0,0,0,0
14.1,12.9,6.6,50,g,peas,sunflower oil,0,0,0,0,0,0,0,0,0
34.2,2.0,24.9,30,g,cheese,0,0,0,0,0,0,0,0,0,0
9.3,0.6,17.0,0,0,pork,0,0,0,0,0,0,0,0,0,0
1.1,2.4,24.0,25,g,chicken,0,0,0,0,0,0,0,0,0,0
12.6,0.2,17.7,0,0,pork,0,0,0,0,0,0,0,0,0,0
27.5,2.6,19.1,44,g,pork,potato,0,0,0,0,0,0,0,0,0
19.3,25.3,9.1,0,0,pork,palm oil,onion,rapeseed oil,milk,0,0,0,0,0,0
9.2,12.7,6.2,50,g,peas,rapeseed oil,0,0,0,0,0,0,0,0,0
0.5,6.1,5.1,0,0,maize,butter,0,0,0,0,0,0,0,0,0
5.2,1.4,17.8,14,g,pork,0,0,0,0,0,0,0,0,0,0
3.9,13.8,4.3,0,0,maize,0,0,0,0,0,0,0,0,0,0
0.5,7.1,4.9,0,0,maize,root,0,0,0,0,0,0,0,0,0
2.5,19.0,3.2,0,0,milk,rice,egg,maize,0,0,0,0,0,0,0
2.6,0.6,21.6,0,0,pork,0,0,0,0,0,0,0,0,0,0
39.2,2.3,24.3,45,g,pork,0,0,0,0,0,0,0,0,0,0
77.0,0.5,0.5,10,g,butter,rapeseed oil,0,0,0,0,0,0,0,0,0
44.0,2.2,24.0,0,0,pork,0,0,0,0,0,0,0,0,0,0
13.0,26.0,16.0,83.4,g,cheese,milk,butter,palm oil,0,0,0,0,0,0,0
1.6,1.2,22.3,60,g,chicken,0,0,0,0,0,0,0,0,0,0
