protein_per_100,water_use_product
0.6,10.65
1.1,369.8
0.5,297.83630822812364
1.0,14.3
16.2,883.1526189467737
0.5,297.83630822812364
4.4,431.73991403823817
1.1,369.8
9.7,6.4
0.5,134.49058877298327
0.7,628.2
6.1,317.15
12.9,1161.5666666666664
22.4,1029.0200000000002
3.7,251.05573113385225
26.0,28.400000000099293
16.2,883.1526189467737
24.9,5605.199999999817
0.3,156.33680555555554
4.5,521.4399784339641
1.5,33.913357609602336
4.3,244.65478650155944
4.5,514.1799722750908
4.8,29.251295962279457
26.8,707.3273761169781
12.6,972.2666666666664
22.4,1029.0200000000002
25.2,375.5730716641197
22.7,4426.648149794429
22.3,3691.3
14.0,1511.85
1.2,319.81748954377366
6.1,577.3575804507218
12.6,533.1328789432414
4.9,215.69999999959768
4.5,781.2375
4.5,114.68565768955672
0.5,369.8
3.0,222.94505572927196
17.0,3699.705295724003
18.4,671.8720880982636
12.7,2070.9
5.4,3542.125255350574
18.5,1431.6557758122422
1.3,628.2
0.6,10.65
3.7,251.5942337172622
22.9,1148.3154315973163
5.0,407.7000000000001
4.9,28.4
3.4,584.4817398518016
4.9,215.7
1.9,15.187405917824227
0.3,237.7
23.5,610.6007341521954
0.0,513.3490304709142
9.0,599.1375
6.6,702.25
24.9,5605.2
17.0,764.8355216716081
24.0,379.55441164642485
17.7,910.6190879570802
19.1,1549.7858528386976
9.1,536.48
6.2,396.6
5.1,215.7
17.8,625.3903713115911
4.3,61.09746495347081
4.9,28.4
3.2,284.7057075755075
21.6,578.9086545249189
24.3,1795.8
0.5,141.02945423132545
24.0,1795.8
16.0,1562.6124999999995
22.3,354.3392584251588
21.5,805.0774525385132
16.6,1464.1740787801778
8.0,84.91666666666663
0.7,354.18371789290387
0.7,354.18371789290387
7.4,202.086459881068
1.0,227.15
4.3,61.33336250155372
3.0,318.3707999948848
4.9,215.7000000000001
20.0,613.1263572749938
25.8,1021.695098835635
0.3,211.044117657048
22.5,5194.233990335518
12.7,1472.948675445478
13.1,1571.927149512918
0.0,452.4432132963989
3.3,194.5956689168418
20.0,1500.0917690244246
18.5,313.19874527467226
5.2,30.43078370269395
4.3,249.1247583660948
12.8,254.42356368796837
9.0,1616.2400000000002
18.0,3740.81313234316
2.8,59.1
11.6,2070.9
22.8,543.5714285714286
15.3,1357.4937422389676
3.4,133.22614734299515
29.4,3486.402445822405
1.9,36.00330022901359
4.4,1606.5636738611415
32.4,577.7
2.3,60.00332109448514
2.0,14.3
21.4,801.3
1.0,16.305640243902438
0.3,518.15
2.5,159.650546322521
0.0,17.456418558134512
21.0,586.584090726293
1.1,586.7092405261224
4.4,1609.7054336795052
29.0,2.65247857772083
4.2,1381.737773922194
0.2,290.76666666666665
