Ingrediente,Frecuencia,EsFalso,,
salt,36585,False,NO,
sugar,33349,False,SI,
water,29025,False,NO,
nan,21779,True,NO,
rup,14930,False,NO,
rapeseed oil,13015,False,SI,ARREGLAR
advice,10314,True,NO,
allerg,10040,False,NO,
acidit,10034,False,NO,
ingredients,8885,False,NO,
emulsifier,8345,False,NO,
flavourings,7684,False,NO,
regulator,7308,False,NO,
sunflower oil,6914,False,SI,
glucose s,6912,False,LIGAR CON SUGAR,
east,6871,False,NO,
colour,6626,False,NO,
flavouring,6282,False,NO,
preservative,6163,False,NO,
wheatflour,5816,False,LIGAR CON BREAD,
dextrose,5516,False,LIGAR CON SUGAR,
cornflour,5410,False,LIGAR CON MAIZE,
spices,5109,False,LIGAR CON ESPECIAS,BUSCAR ESPECIAS
palm oil,5103,False,SI,
onion,4951,False,SI,
citric acid,4930,False,NO,
flour,4854,False,LIGAR CON BREAD,
cocoa butter,4688,False,LIGAR CON CHOCOLATE,BUSCAR CHOCOLATE
stabiliser,4644,False,NO,
potato starch,4581,False,LIGAR CON POTATO,
acid,4527,False,NO,
whe,4445,False,NO,
east extract,4351,False,LIGAR CON MUSHROOM ,BUSCAR MUSHROOM
natural flavouring,4195,False,NO,
cocoa mass,4161,False,LIGAR CON CHOCOLATE,
antioxidant,4083,False,NO,
sea salt,4025,False,NO,
powder,4004,False,NO,
garlic,3920,False,LIGAR CON GARLIC,BUSCAR GARLIC
raising agents,3762,False,NO,
onion powder,3587,False,LIGAR CON ONION,
black pepper,3538,False,LIGAR CON ESPECIAS,
stabilisers,3506,False,NO,
parsle,3449,False,LIGAR CON PARSLE,BUSCAR 
emulsifiers,3438,False,NO,
butter,3423,False,SI,
rice flour,3296,False,LIGAR CON ARROZ,
modified maize starch,3268,False,LIGAR CON MAIZE,
maltodextrin,3259,False,LIGAR CON SUGAR,
so,3247,True,NO,
partiall,2820,False,NO,
garlic purã©e,2751,True,LIGAR CON GARLIC,
spirit vinegar,2737,False,NO SE,
vegetable oils,2716,False,PROMEDIO DE OILS,
garlic powder,2673,False,LIGAR CON GARLIC,
natural flavourings,2543,False,NO,
cori,2542,False,NO,
fortified wheat flour,2535,False,LIGAR CON BREAD,
mozzarella cheese,2417,False,LIGAR CON CHEESE,
sweeteners,2389,False,LIGAR CON SUGAR,
barle,2382,False,NO,
er,2326,True,NO,
maize starch,2283,False,LIGAR CON MAIZE,
humectant,2184,False,NO,
lactose,2160,False,LIGAR CON AZUCAR/LECHE,
wheatstarch,2137,False,LIGAR CON BREAD,
skimmedmilkpowder,2134,False,LIGAR CON MILK,
colours,2120,False,NO,
acids,2051,False,NO,
tomatoes,2039,False,LIGAR CON TOMATO,
tomato purã©e,2037,True,LIGAR CON TOMATO,
onions,2015,False,LIGAR CON ONION,
wheat flour,1994,False,LIGAR CON BREAD,
thickener,1963,False,NO,
sweetener,1906,False,NO,
preservatives,1859,False,NO,
vegetable oil,1848,False,PROMEDIO DE OILS,
hone,1829,False,LIGAR CON HONEY,BUSCAR HONEY
gelling agent,1828,False,NO,
reconstituted tomato paste,1805,False,LIGAR CON TOMATO,
malt extract,1803,False,,
glucose-fructose s,1761,True,,
raising agent,1746,False,,
ogurt,1744,False,,
cream,1710,False,,
white pepper,1674,False,,
lemon juice,1647,False,,
regulators,1629,False,,
niacin,1618,False,,
carrot,1616,False,,
paprika,1614,False,,
iron,1602,False,,
carbonated water,1593,False,,
invert sugar s,1578,False,,
basil,1577,False,,
palm fat,1548,False,,
coconut oil,1543,False,,
modified starch,1536,False,,
pork,1524,False,,
tomato,1521,False,,
concentrated lemon juice,1494,False,,
tomato paste,1478,False,,
vegetable fats,1463,False,,
starch,1433,False,,
fat reduced cocoa powder,1432,False,,
gl,1394,True,,
ginger,1358,False,,
extra virgin olive oil,1353,False,,
vitamins,1347,False,,
calcium carbonate,1335,False,,
red pepper,1324,False,,
cheddar cheese,1314,False,,
skimmedpowder,1303,False,,
herbs,1280,False,,
for allergens see highlighted ingredientswater,1277,False,,
tapioca starch,1260,False,,
olk,1257,False,,
raspberr,1228,False,,
th,1221,True,,
me,1215,True,,
potato,1210,False,,
oregano,1165,False,,
ascorbic acid,1164,False,,
flour treatment agent,1156,False,,
strawberr,1136,False,,
dried onion,1132,False,,
salt),1121,True,,
turmeric,1117,False,,
white wine vinegar,1107,False,,
dried herbs,1101,False,,
double cream,1099,False,,
tomato puree,1081,False,,
hops,1058,False,,
corn starch,1052,False,,
ginger purã©e,1038,True,,
xanthan gum,1014,False,,
cerides of fatt,1010,False,,
maize flour,983,False,,
antioxidants,969,False,,
dried skimmedmilk,961,False,,
digl,960,False,,
carrots,957,False,,
wheatgluten,952,False,,
h,924,True,,
spinach,915,False,,
olive oil,911,False,,
cocoa powder,907,False,,
tomato powder,901,False,,
chicken,895,False,,
potatoes,894,False,,
rosemar,872,False,,
egg,864,False,,
beef,860,False,,
fructose,860,False,,
milkfat,841,False,,
milk,831,False,,
maltedbarle,822,False,,
rice,821,False,,
cumin,820,False,,
demerara sugar,818,False,,
anti-caking agent,815,True,,
cinnamon,799,False,,
molasses,795,False,,
flavouring),791,True,,
chilli powder,790,False,,
sunflower seeds,774,False,,
dried garlicwheatflour,769,False,,
dried glucose s,769,False,,
nutmeg,767,False,,
vegetable fat,766,False,,
raisins,764,False,,
sweetcorn,763,False,,
mono-,742,True,,
ca,740,True,,
wholemilkpowder,737,False,,
milk chocolate,732,False,,
paprika extract,732,False,,
for allergens see highlighted ingredientssugar,725,False,,
pasteurised free rangeegg,717,False,,
apple,716,False,,
potassium sorbate,704,False,,
sodium bicarbonate,699,False,,
modified cornflour,693,False,,
almonds,691,False,,
sultanas,691,False,,
garlic puree,684,False,,
vitamin d,682,False,,
protein,681,False,,
flavour enhancers,678,False,,
chicken breast,664,False,,
sauce,661,False,,
reh,659,False,,
malic acid,658,False,,
spice extracts,657,False,,
vinegar,652,False,,
whipping cream,651,False,,
guar gum,651,False,,
peas,646,False,,
potassium chloride,645,False,,
lemon juice from concentrate,643,False,,
brown sugar,638,False,,
rice starch,636,False,,
lactic acid,632,False,,
pasteurisedegg,626,False,,
milkproteins,623,False,,
vitamin c,623,False,,
skimmedmilk,622,False,,
aflour,621,False,,
dried whe,618,False,,
smoked paprika,614,False,,
thickeners,608,False,,
desiccated coconut,607,False,,
maize,604,False,,
extract,603,False,,
single cream,603,False,,
dried garlic,602,False,,
drogen carbonate,602,False,,
beans,598,False,,
lemon juice concentrate,595,False,,
sage,579,False,,
enne pepper,572,False,,
coconut milk,571,False,,
chicor,571,False,,
red cheddar cheese,566,False,,
ground cori,565,False,,
gelatine,564,False,,
*,564,True,,
red peppers,563,False,,
thiamin],562,True,,
celer,558,False,,
chilli,557,False,,
mushrooms,555,False,,
edam cheese,554,False,,
drol,545,False,,
flavour enhancer,542,False,,
spice,538,False,,
natural colour,534,False,,
annatto),534,True,,
seeds,533,False,,
sodium nitrite),533,True,,
pumpkin seeds,532,False,,
extracts of rosemar,531,False,,
white wine,527,False,,
fruit,526,False,,
milkprotein,523,False,,
mature cheddar cheese,522,False,,
fruit juices from concentrate,522,False,,
red wine,521,False,,
pepper,521,False,,
aqua,519,False,,
ingredients list,512,False,,
glucose,511,False,,
butter oil,509,False,,
malt vinegar,508,False,,
glazing agent,506,False,,
cerol,502,False,,
gluten,497,False,,
dark chocolate,497,False,,
wholepowder,497,False,,
pectin,495,False,,
caster sugar,493,False,,
dates,491,False,,
cocoa solids  minimum,489,False,,
gelling agents,488,False,,
sodium ascorbate,485,False,,
ba,485,True,,
sodium h,484,False,,
pol,484,False,,
vegetables,483,False,,
wheat flour [wheatflour,481,True,,
folic acid,477,False,,
deh,473,False,,
ground black pepper,472,False,,
fibre,469,False,,
chopped tomatoes,468,False,,
hazelnuts,468,False,,
alecithin,468,False,,
corn flour,463,False,,
dried skimmed,462,False,,
vitamin b6,459,True,,
proteins,455,False,,
wheat,452,False,,
firming agent,451,False,,
smoke flavouring,447,False,,
fat-reduced cocoa powder,447,True,,
dried,447,False,,
fat,444,False,,
pork fat,444,False,,
puree,443,False,,
lecithin,439,False,,
golden s,434,False,,
pork gelatine,433,False,,
dried potato,432,False,,
thiamin ],432,True,,
durumwheatsemolina,431,False,,
juice from concentrate,431,False,,
aspartame,431,False,,
seasoning,430,False,,
caramelised sugar s,423,False,,
ards,422,False,,
red wine vinegar,419,False,,
red chilli,418,False,,
minerals,417,False,,
spice extract,413,False,,
skimmed,411,False,,
wholemealwheatflour,410,False,,
peanuts,409,False,,
lime juice,409,False,,
dried wholemilk,409,False,,
vitamin b12,408,True,,
malt,407,False,,
caffeine,406,False,,
natural vanilla flavouring,405,False,,
for allergens see highlighted ingredientswheatflour,404,False,,
calcium,404,False,,
r,402,True,,
cerin,401,False,,
salt],399,True,,
modified tapioca starch,399,False,,
modified corn starch,397,False,,
butterfat,396,False,,
riboflavin,395,False,,
modified potato starch,392,False,,
er leaf,391,False,,
coconut,389,False,,
breadcrumbs,389,False,,
caramelised sugar,389,False,,
acesulfame k,389,False,,
margarine,388,False,,
inulin,387,False,,
unsalted butter,385,False,,
durumsemolina,385,False,,
cerine,385,False,,
pea protein,380,False,,
sodium nitrite,380,False,,
carrageenan,376,False,,
ground cumin,376,False,,
acetic acid,374,False,,
cocoa solids,373,False,,
inverted sugar s,370,False,,
milk solids  minimum,369,False,,
thiamin,367,False,,
icing sugar,365,False,,
leek,364,False,,
red onion,364,False,,
mint,361,False,,
whole,359,False,,
pepperoni,356,False,,
l alcohol,356,False,,
traded in compliance with fairtrade st,356,False,,
apple juice,355,False,,
pineapple,353,False,,
apple juice from concentrate,352,False,,
corn,351,False,,
vanilla extract,349,False,,
wholemilk,349,False,,
phosphoric acid,348,False,,
e471,348,True,,
rusk,348,False,,
m,348,True,,
contains vegetable fats in addition to cocoa butter,347,False,,
cherr,346,False,,
diphosphates,346,False,,
calcium propionate,345,False,,
pasteurised free range,345,False,,
