fat_per_100,carbohydrate_per_100,protein_per_100,serving_value,serving_unit,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11
82.2g,0.6g,0.6g,10,g,butter,,,,,,,,,,
0.5g,3.6g,1.1g,80,g,tomato,,,,,,,,,,
0.1g,3.0g,0.5g,80,g,tomato,,,,,,,,,,
0.1g,8.0g,1.0g,100,g,onion,,,,,,,,,,
12.6g,0.4g,16.2g,60,g,pork,,,,,,,,,,
12.6g,0.4g,16.2g,60,g,pork,,,,,,,,,,
0.5g,3.6g,1.1g,80,g,tomato,,,,,,,,,,
0.1g,3.0g,0.5g,90,g,tomato,,,,,,,,,,
5.0g,18.1g,4.4g,,,rice,butter,milk,,,,,,,,
0.1g,8.0g,1.0g,100,g,onion,,,,,,,,,,
0.5g,3.6g,1.1g,,,tomato,,,,,,,,,,
0.1g,8.0g,1.0g,100,g,onion,,,,,,,,,,
13.0g,44.6g,9.7g,40,g,palm oil,rapeseed oil,,,,,,,,,
78 g,0.6 g,0.5 g,,,butter,rapeseed oil,,,,,,,,,
64.5g,1g,0.7g,,,milk,,,,,,,,,,
16.6g,11.9g,6.1g,50,g,peas,rapeseed oil,,,,,,,,,
0.5g,3.6g,1.1g,80,g,tomato,,,,,,,,,,
16.7g,12.8g,12.9g,,,pork,rapeseed oil,beef,,,,,,,,
0.1g,8.0g,1.0g,100,g,onion,,,,,,,,,,
2.0g,1.2g,22.4g,27,g,pork,bread,rice,maize,rapeseed oil,,,,,,
2.7 g,12.0 g,3.7 g,74,g,milk,maize,,,,,,,,,
31g,5.5g,26g,10,g,pork,root,,,,,,,,,
12.6g,0.4g,16.2g,100,g,pork,,,,,,,,,,
34.2g,2.1g,24.9g,30,g,cheese,potato,,,,,,,,,
0g,11.2g,0.3g,150,ml,apple,,,,,,,,,,
5.8g,19.4g,4.5g,,,milk,butter,,,,,,,,,
1.9g,12.6g,1.5g,,,potato,milk,butter,,,,,,,,
3.9g,12.4g,4.3g,,,berrie,maize,,,,,,,,,
