Ingrediente,Frecuencia
sugar,46976
bread,25415
spices,21790
milk,20910
maize,19387
onion,15784
rapeseed oil,15407
mushroom,15007
citrus,13434
butter,12949
garlic,11650
tomato,11319
potato,10859
rice,10580
sunflower oil,10287
chocolate,9782
animal fats,9610
root,8058
palm oil,7417
cheese,6753
chilli,6633
coconut,6479
apple,6225
bean,6218
egg,6205
ginger,6041
parsley,5726
vegetable oil,5548
berrie,5492
pork,4819
garlic powder,4361
chicken,4212
wine,3993
tea,3608
beer,3468
cassava,3368
nuts,3072
olive oil,3045
beef,2816
milk chocolate,2782
grape,2298
fish,2090
peas,2067
mango,1883
cane,1863
dark chocolate,1532
mint,1454
spinach,1357
coffee,1334
pineapple,1278
sunflower seeds,1151
pear,1024
banana,851
quinoa,736
peach,662
crustaceans,643
olives,619
cabbage,582
broccoli,463
lamb,388
leeks,301
lettuce,240
melon,235
bean oil,234
kiwi,225
avocado,172
oatmeal,158
tofu,132
mutton,44
beet sugar,27
coffe,2
