Ingrediente_original,Ingrediente_limpio,Es_valido
""".g",ingrediente_basura,0
"""chaokoh",ingrediente_basura,0
"""three",ingrediente_basura,0
#,ingrediente_basura,0
#*,ingrediente_basura,0
#=,ingrediente_basura,0
#e,ingrediente_basura,0
#equivalent,ingrediente_basura,0
#gmo,ingrediente_basura,0
#lecithin,ingrediente_basura,0
#methylcellulose,ingrediente_basura,0
&,ingrediente_basura,0
&almondfilling,ingrediente_basura,0
&ammonia,ingrediente_basura,0
&beans,ingrediente_basura,0
&blue,ingrediente_basura,0
&cashews,ingrediente_basura,0
&filling,ingrediente_basura,0
&lecithin,ingrediente_basura,0
&lecithins,ingrediente_basura,0
&oil,ingrediente_basura,0
&pieces,ingrediente_basura,0
&soya,ingrediente_basura,0
&soyabeans,ingrediente_basura,0
&soyalecithin,ingrediente_basura,0
&soysauce,ingrediente_basura,0
&sulphiteammonia,tea,1
&tebbutt,ingrediente_basura,0
&wheat,ingrediente_basura,0
',ingrediente_basura,0
'',ingrediente_basura,0
'''',ingrediente_basura,0
'-,ingrediente_basura,0
'-disodium,ingrediente_basura,0
'-phosphate,ingrediente_basura,0
'-ribinoclueotide,ingrediente_basura,0
'-ribonucleotide,ingrediente_basura,0
'-ribonucleotides,ingrediente_basura,0
'-ribonucleotidese,ingrediente_basura,0
'-ribonucleotides},ingrediente_basura,0
'-ribonucleotides}.,ingrediente_basura,0
'-ribonucletides,ingrediente_basura,0
'gluten,ingrediente_basura,0
'mayan',ingrediente_basura,0
'mother,ingrediente_basura,0
'n,ingrediente_basura,0
'n',ingrediente_basura,0
'nduja,ingrediente_basura,0
'o',ingrediente_basura,0
'ribonucleotide,ingrediente_basura,0
'ribonucleotides,ingrediente_basura,0
'sweet',ingrediente_basura,0
*,ingrediente_basura,0
*'s,ingrediente_basura,0
**,ingrediente_basura,0
***,ingrediente_basura,0
****,ingrediente_basura,0
***certified,ingrediente_basura,0
***isomaltulose,ingrediente_basura,0
***organic,ingrediente_basura,0
***rainforest,ingrediente_basura,0
***water,ingrediente_basura,0
**=,ingrediente_basura,0
**=demeter,ingrediente_basura,0
**=from,ingrediente_basura,0
**a,ingrediente_basura,0
**approved,ingrediente_basura,0
**as,ingrediente_basura,0
**aspartame,ingrediente_basura,0
**bio-dynamically,ingrediente_basura,0
**caught,ingrediente_basura,0
**certified,ingrediente_basura,0
**contains,ingrediente_basura,0
**crumb,ingrediente_basura,0
**derived,ingrediente_basura,0
**due,ingrediente_basura,0
**e,ingrediente_basura,0
**equivalent,ingrediente_basura,0
**euthynnus,ingrediente_basura,0
**euthynus,ingrediente_basura,0
**fear,ingrediente_basura,0
**from,ingrediente_basura,0
**gb-org-,ingrediente_basura,0
**gently,ingrediente_basura,0
**gluten,ingrediente_basura,0
**i,ingrediente_basura,0
**it,ingrediente_basura,0
**made,ingrediente_basura,0
**maltesersâ®,ingrediente_basura,0
**may,ingrediente_basura,0
**minimum,ingrediente_basura,0
**natural,ingrediente_basura,0
**naturally,ingrediente_basura,0
**non-organic,ingrediente_basura,0
**not,ingrediente_basura,0
**organic,ingrediente_basura,0
**organic/demeter,ingrediente_basura,0
**organically,ingrediente_basura,0
**other,ingrediente_basura,0
**our,ingrediente_basura,0
**parmigiano,ingrediente_basura,0
**potassium,ingrediente_basura,0
**produced,ingrediente_basura,0
**protected,ingrediente_basura,0
**rainforest,ingrediente_basura,0
**rspo,ingrediente_basura,0
**saldoce,ingrediente_basura,0
**sustainably,ingrediente_basura,0
**the,ingrediente_basura,0
