Ingrediente_base,Similares,Es_valido
ingrediente_basura,ingrediente_basura,0
tea,tea,1
bread,bread,1
butter,butter,1
cane,cane,1
chicken,chicken,1
milk,milk,1
grape,grape,1
rice,rice,1
maize,maize,1
onion,onion,1
apple,apple,1
tofu,tofu,1
tomato,tomato,1
fish,fish,1
wine,wine,1
nuts,nuts,1
cheese,cheese,1
pork,pork,1
egg,egg,1
beef,beef,1
berrie,berrie,1
potato,potato,1
coffee,coffee,1
oatmeal,oatmeal,1
root,root,1
banana,banana,1
beer,beer,1
peas,peas,1
crustaceans,crustaceans,1
lamb,lamb,1
olives,olives,1
