word,frequency,meter,
water,1663,NO,
acid,1351,NO,
for,1138,NO,
see,1109,NO,
salt,1105,NO,
allergens,1104,NO,
advice,1100,NO,
allergy,1097,NO,
highlighted,1092,NO,
100%,1007,NO,
organic,910,NO,
juice,853,NO,
natural,783,NO,
citric,688,NO,
sodium,637,NO,
from,622,NO,
concentrate,518,NO,
acidity,453,NO,
potassium,422,NO,
flavourings,415,NO,
flavouring,402,NO,
regulator,393,NO,
and,376,NO,
calcium,375,NO,
extract,351,NO,
sweetener,336,NO,
agent,319,NO,
ingredients,318,NO,
orange,311,CITRUS,
of,305,NO,
vitamin,296,NO,
sorbate,288,NO,
sea,270,NO,
chloride,270,NO,
coconut,265,EVALUAR,COCONUT
beans,261,EVALUAR,BEANS
a,257,NO,
in,254,NO,
pineapple,248,EVALUAR,PINEAPPLE
gum,246,NO,
durumsemolina,235,NO,
sucralose,235,NO,
preservative,233,NO,
lemon,230,CITRUS,
red,230,NO,
powder,222,NO,
antioxidant,219,NO,
with,218,NO,
hops,210,EVALUAR,HOPS
ascorbic,204,NO,
colour,200,NO,
black,195,NO,
pasteurised,192,NO,
spring,188,NO,
pepper,186,SPICES,
the,178,NO,
fruit,172,NO,
mango,164,MANGO,
dioxide,162,NO,
firming,160,NO,
dried,158,NO,
1%,152,NO,
green,151,NO,
cultures,151,NO,
stabiliser,149,NO,
durumwheatsemolina,147,NO,
citrate,145,NO,
ground,141,NO,
protective,140,NO,
lactobacillus,140,NO,
preservatives,136,NO,
contains,133,NO,
15%,132,NO,
carbonated,130,NO,
fat,125,EVALUAR,FAT
leaves,125,NO,
atmosphere,125,NO,
vinegar,122,EVALUAR,
rennet,122,NO,
b12,122,NO,
5%,121,NO,
certified,121,NO,
ci,118,NO,
pure,116,NO,
leaf,116,NO,
other,114,NO,
l,112,NO,
magnesium,112,NO,
25%,110,NO,
ingredientswater,109,NO,
&,109,NO,
carrot,108,ROOT,
syrup,107,NO,
dates,106,NO,
to,104,NO,
wholegrain,104,NO,
spinach,103,EVALUAR,SPINACH
carbonate,102,NO,
yogurt,102,EVALUAR,MILK
regulators,101,NO,
live,101,NO,
baby,100,NO,
10%,99,NO,
d,99,NO,
lactic,98,NO,
free,98,NO,
99%,97,NO,
2%,96,NO,
vitamins,94,NO,
broccoli,94,EVALUAR,BROCCOLI
niacin,93,NO,
3%,93,NO,
are,91,NO,
*,89,NO,
ginger,89,EVALUAR,GINGER
aqua,88,NO,
30%,86,NO,
seed,85,NO,
rehydrated,85,NO,
bicarbonate,84,NO,
b6,84,NO,
50%,82,NO,
whole,81,NO,
thermophilus,81,NO,
*organic,81,NO,
hop,81,EVALUAR,HOPS
paprika,81,SPICES,
pear,80,EVALUAR,PEAR
cellulose,80,NO,
salmon,80,SALMON,
glycol,80,NO,
agents,78,NO,
coriander,78,NO,
*=,77,NO,
parfum,77,NO,
grapefruit,77,GRAPE,
raisins,76,NO,
our,76,NO,
/,75,NO,
malted,75,NO,
strawberry,75,EVALUAR,STRAWBERRY
barley,75,BEER,
chilli,75,SPICES,
not,74,NO,
40%,73,NO,
culture,73,NO,
steviol,73,NO,
benzoate,72,NO,
beetroot,72,ROOT,
mineral,71,NO,
flavour,71,NO,
partially,70,NO,
c,70,NO,
bulgaricus,70,NO,
fructose,69,SUGAR,
starch,69,NO,
white,69,NO,
lettuce,69,EVALUAR,LETTUCE
cinnamon,68,CINNAMON,BAJA HUELLA
alcohol,67,NO,
cream,67,NO,
made,66,NO,
wheat,66,BREAD,
under,66,NO,
lime,64,CITRUS,
sparkling,64,NO,
stabilisers,64,NO,
casei,63,NO,
anti-caking,63,NO,
bifidobacterium,63,NO,
raspberry,63,BERRIE,
ingredientsdurumwheatsemolina,62,NO,
colours,61,NO,
corn,61,MAIZE,
cardamom,61,EVALUAR,
cacao,61,CHOCOLATE,
pectin,60,NO,
thyme,60,NO,
iron,60,NO,
acidophilus,60,NO,
turmeric,60,NO,
propylene,59,NO,
glycosides,59,NO,
maltedbarley,58,BEER,
basil,58,NO,
20%,58,NO,
gellan,57,NO,
protein,57,NO,
organically,57,NO,
grown,57,NO,
durum,56,BREAD,
phosphate,56,NO,
content,56,NO,
folic,56,NO,
dimethyl,55,NO,
gelling,54,NO,
malt,54,BEER,
glycerol,53,NO,
hint,53,NO,
starter,53,NO,
taste,52,NO,
kidney,51,NO,
acetic,51,NO,
98%,51,NO,
18%,51,NO,
fairtrade,51,NO,
skimmed,50,NO,
herbs,50,NO,
oregano,50,EVALUAR,
rocket,50,NO,
oranges,50,CITRUS,
their,49,NO,
emulsifier,49,NO,
purã©e,49,NO,
glycerin,49,NO,
33%,48,NO,
process,48,NO,
protect,48,NO,
gentle,48,NO,
delicate,48,NO,
gently,48,NO,
s,48,NO,
malic,48,NO,
steamed,48,NO,
skimmedmilk,47,MILK,
added,47,NO,
agave,47,NO,
thickener,47,NO,
is,47,NO,
fennel,47,NO,
4%,47,NO,
plant,47,NO,
lentils,47,NO,
caramel,47,NO,
ingredientsorange,46,NO,
melon,46,EVALUAR,MELON
pink,46,NO,
esters,46,NO,
cumin,46,NO,
dicarbonate,46,NO,
squeezed,46,NO,
quinine,45,NO,
-,45,NO,
xanthan,45,NO,
quaker,45,NO,
gluten,45,NO,
parsley,45,PARSLE,
b2,45,NO,
per,45,NO,
peach,45,EVALUAR,PEACH
sulfate,45,NO,
origin,44,NO,
guar,44,NO,
including,44,NO,
apricots,44,NO,
peppermint,44,NO,
cabbage,44,EVALUAR,CABBAGE
aloe,44,NO,
spirit,44,NO,
mint,44,EVALUAR,MINT
linalool,44,NO,
sulphur,43,NO,
annatto,43,NO,
puree,43,NO,
sorbitol,43,NO,
60%,43,NO,
riboflavin,43,NO,
limonene,42,NO,
d3,42,NO,
cranberry,42,BERRIE,
biotin,42,NO,
polysorbate,42,NO,
flakes,42,NO,
8%,42,NO,
than,42,NO,
rosemary,41,NO,
carrots,41,ROOT,
tuna,41,FISH,
prunes,41,EVALUAR,PRUNES
sweetcorn,41,MAIZE,
watermelon,41,EVALUAR,MELON
peppercorns,40,MAIZE,
concentrated,40,NO,
sprouts,40,NO,
marjoram,40,NO,
roasted,40,NO,
turkey,40,CHICKEN,
quinoa,40,EVALUAR,QUINOA
mandarin,39,CITRUS,
100g,39,NO,
