fat_per_100,carbohydrate_per_100,protein_per_100,serving_value,serving_unit,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,energy_per_100,error_nutricional,%peso_ingredient_1,%peso_ingredient_2,%peso_ingredient_3,%peso_ingredient_4,%peso_ingredient_5,%peso_ingredient_6,%peso_ingredient_7,%peso_ingredient_8,%peso_ingredient_9,%peso_ingredient_10,%peso_ingredient_11,water_use_product
13.0,44.6,9.7,40,g,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,0,334.2,288225.09,100.0,0.0,,,,,,,,,,6.4
64.5,1.0,0.7,0,0,milk,0,0,0,0,0,0,0,0,0,0,587.3,280761.0937999999,100.0,,,,,,,,,,,628.2
6.5,44.1,9.0,0,0,butter,olive oil,palm oil,rapeseed oil,0,0,0,0,0,0,0,270.9,285758.90486562497,25.0,25.0,25.0,25.0,,,,,,,,599.1375
8.0,22.0,4.8,0,0,maize,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,179.2,279834.9644660854,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,153.2666666666666
9.4,4.7,3.6,50,g,sunflower oil,rapeseed oil,0,0,0,0,0,0,0,0,0,117.8,595305.8500000001,50.0,50.0,,,,,,,,,,622.8
2.2,8.3,2.5,250,ml,cane,sunflower oil,0,0,0,0,0,0,0,0,0,63.0,335225.646025,50.0,50.0,,,,,,,,,,814.0
99.8,0.0,0.0,0,0,pork,0,0,0,0,0,0,0,0,0,0,898.1999999999999,277076.3009999999,100.0,,,,,,,,,,,1795.8
2.4,43.1,3.8,150,g,rice,rapeseed oil,sunflower oil,0,0,0,0,0,0,0,0,209.2,255890.0044972222,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,1164.6666666666665
6.6,59.2,8.9,50,g,olive oil,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,331.8,293419.45,100.0,0.0,0.0,,,,,,,,,2141.8
3.1,48.4,7.9,104,g,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,0,253.1,382553.79,100.0,0.0,,,,,,,,,,6.4
8.0,21.7,4.8,0,0,maize,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,178.0,281100.0991327254,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,153.2666666666666
31.7,2.3,0.1,10,g,olive oil,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,294.90000000000003,326272.6000009079,99.99999999636076,2.074512545253981e-09,1.5647167480974111e-09,,,,,,,,,2141.799999927086
70.0,0.6,0.6,10,g,milk,0,0,0,0,0,0,0,0,0,0,634.8,333723.30779999995,100.0,,,,,,,,,,,628.2
77.2,0.5,0.3,0,0,milk,0,0,0,0,0,0,0,0,0,0,698.0000000000001,411261.0858000001,100.0,,,,,,,,,,,628.2
1.0,10.0,0.1,0,0,rice,sunflower oil,0,0,0,0,0,0,0,0,0,49.4,333515.35636875004,50.0,50.0,,,,,,,,,,1628.15
7.7,51.2,9.0,31,g,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,310.1,315815.34,100.0,0.0,,,,,,,,,,237.7
7.3,48.0,7.4,160,g,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,287.3,341232.14,100.0,0.0,,,,,,,,,,237.7
0.0,0.8,0.5,10,g,rapeseed oil,palm oil,milk,0,0,0,0,0,0,0,0,5.2,361160.1155333333,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,290.76666666666665
1.0,9.9,0.1,0,0,rice,sunflower oil,0,0,0,0,0,0,0,0,0,49.0,333981.24786875,50.0,50.0,,,,,,,,,,1628.15
0.0,1.9,0.0,0,0,sunflower oil,egg,0,0,0,0,0,0,0,0,0,7.6,258974.730025,50.0,50.0,,,,,,,,,,792.8
2.2,53.1,10.6,4,0,rapeseed oil,butter,olive oil,0,0,0,0,0,0,0,0,274.6,260731.11664999984,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,796.7166666666666
1.0,9.5,0.1,0,0,rice,sunflower oil,0,0,0,0,0,0,0,0,0,47.4,335848.21386875,50.0,50.0,,,,,,,,,,1628.15
0.0,2.7,0.0,10,g,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,10.8,734548.7300000001,100.0,0.0,,,,,,,,,,237.7
11.2,40.5,2.6,0,0,butter,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,273.2,252155.81664999996,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,84.91666666666664
0.0,0.0,0.0,0,0,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,0,0.0,753044.0,100.0,0.0,,,,,,,,,,6.4
4.0,18.0,4.4,115,g,butter,rapeseed oil,0,0,0,0,0,0,0,0,0,125.6,360773.1484624999,50.0,50.0,,,,,,,,,,124.175
2.1,5.0,2.9,168,g,peas,butter,rapeseed oil,0,0,0,0,0,0,0,0,50.5,255239.3048194445,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,214.9833333333333
10.7,34.8,3.1,87,g,butter,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,247.9,277510.54665,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,84.91666666666664
7.7,33.2,3.1,136,g,butter,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,214.5,313740.4733166666,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,84.91666666666664
7.8,52.6,7.2,50,g,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,0,309.40000000000003,316686.1999999999,100.0,0.0,,,,,,,,,,6.4
2.7,14.5,2.3,108,g,rapeseed oil,butter,0,0,0,0,0,0,0,0,0,91.5,402652.3534624999,50.0,50.0,,,,,,,,,,124.175
0.0,5.4,14.0,100,g,rapeseed oil,sunflower oil,onion,0,0,0,0,0,0,0,0,77.6,278707.79483093467,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,419.9666666666665
14.8,53.4,4.0,115,g,palm oil,sunflower oil,0,0,0,0,0,0,0,0,0,362.8,259327.24,100.0,0.0,,,,,,,,,,6.4
7.9,14.0,2.8,100,g,peas,rapeseed oil,olive oil,0,0,0,0,0,0,0,0,138.3,277227.6237583334,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,925.3666666666666
3.0,7.2,1.5,62,g,tomato,rapeseed oil,olive oil,0,0,0,0,0,0,0,0,61.8,288756.0609444444,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,916.4333333333332
11.9,27.5,7.2,0,0,olive oil,palm oil,rapeseed oil,0,0,0,0,0,0,0,0,245.90000000000003,388148.9099999999,100.0,0.0,0.0,,,,,,,,,2141.8
8.0,22.7,3.2,0,0,rapeseed oil,rice,palm oil,0,0,0,0,0,0,0,0,175.6,281983.0198305554,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,830.8333333333333
0.0,0.0,0.0,0,0,peas,rapeseed oil,0,0,0,0,0,0,0,0,0,0.0,305749.75545625,50.0,50.0,,,,,,,,,,317.15
12.7,18.8,9.6,0,0,sunflower oil,rapeseed oil,0,0,0,0,0,0,0,0,0,227.9,438534.1,50.0,50.0,,,,,,,,,,622.8
34.2,2.5,11.6,1,0,sunflower oil,olive oil,0,0,0,0,0,0,0,0,0,364.2,274662.49,50.0,50.0,,,,,,,,,,1574.8500000000001
9.6,37.9,11.2,0,0,rapeseed oil,palm oil,sunflower seeds,0,0,0,0,0,0,0,0,282.79999999999995,250406.67533333332,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,,,,268.3952380999999
6.1,40.3,9.9,50,g,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,255.7,378139.0,100.0,0.0,,,,,,,,,,237.7
2.2,45.6,8.1,0,0,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,234.6,405340.57,100.0,0.0,,,,,,,,,,237.7
2.9,36.7,11.9,40,g,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,220.5,422439.160058099,99.99999979416512,2.0583486234904139e-07,,,,,,,,,,237.6999995239039
2.2,45.6,8.1,50,g,rapeseed oil,palm oil,0,0,0,0,0,0,0,0,0,234.6,405340.57,100.0,0.0,,,,,,,,,,237.7
